Geneid sorted_2.bam sorted_3.bam ERR1755086-sort.bam ERR1755087-sort.bam ERR1755084_sorted.bam ERR1755085_sorted.bam
B3gat2 266 245 228 197 0 0
Smap1 2071 1946 2144 2140 3507 3933
1110058L19Rik 128 107 118 154 117 147
Fam135a 199 157 29 23 173 33
Col9a1 0 0 0 0 0 0
Col19a1 0 0 0 1 2 0
Lmbrd1 1331 1186 718 774 1229 937
Bai3 0 0 0 0 0 0
Gm20172 0 0 0 0 0 0
4931408C20Rik 0 0 0 0 0 0
Gm597 0 0 0 0 0 0
Phf3 6461 5162 4294 4453 5743 4833
Ptp4a1 119 110 89 74 126 127
Gm13363 0 0 0 0 0 0
4931428L18Rik 0 0 0 0 0 0
Lgsn 0 0 0 0 0 0
Pih1d3 0 0 0 0 0 0
Gm4850 0 0 0 0 0 0
Khdrbs2 0 0 0 0 0 0
Gm9839 0 0 0 0 0 0
Gm5415 0 0 1 0 1 0
Prim2 743 639 800 859 745 949
1700001G17Rik 4 3 5 3 2 10
Rab23 455 340 215 206 384 261
Bag2 58 72 80 93 65 79
Zfp451 1428 1203 970 911 1324 1079
Gm15455 16 17 25 16 33 22
Bend6 47 59 10 16 49 15
Dst 2187 2009 115 105 2008 109
Mir5103 4 4 0 0 2 1
Ccdc115 777 728 630 687 769 752
Imp4 1945 1976 1629 1652 1848 1893
Ptpn18 2702 3004 2515 2588 2396 2629
Prss39 4 1 3 4 4 5
Cfc1 0 0 0 0 0 0
Prss40 0 0 0 0 0 0
Amer3 0 0 0 0 0 0
AA619741 0 0 0 0 0 0
Arhgef4 520 487 396 458 460 405
Fam168b 7974 7029 5960 6378 7393 6785
Plekhb2 3969 3791 2927 3221 3916 3315
Hs6st1 893 899 573 529 906 661
Uggt1 6386 5885 5832 6169 5992 6818
Neurl3 3838 3577 2856 3185 3680 3514
Arid5a 8005 7970 7218 7769 7851 8189
Kansl3 2976 2931 2408 2639 2787 2842
Lman2l 623 624 341 334 579 358
Cnnm4 559 608 640 725 648 658
Cnnm3 904 851 578 623 887 642
Ankrd23 624 660 415 391 645 534
Ankrd39 391 388 247 305 415 288
Sema4c 126 164 72 65 119 54
Fam178b 0 2 0 2 1 0
Cox5b 1862 2160 2180 2511 1870 2781
Actr1b 2303 2191 1883 2072 2137 2174
4933424G06Rik 2 1 1 0 6 3
Zap70 10040 10793 5874 6713 9971 6756
Tmem131 3806 3638 2555 2704 3856 3039
Cnga3 0 0 0 1 0 0
Inpp4a 1971 1936 1659 1736 1898 1821
Coa5 3162 2878 3148 3364 2986 3808
Unc50 633 624 641 604 632 671
Mgat4a 975 800 881 1000 828 1093
4930594C11Rik 51 24 38 47 39 35
2010300C02Rik 89 88 133 155 84 150
Tsga10 46 44 69 54 36 64
Lipt1 92 52 46 31 29 35
Mitd1 1024 829 945 951 927 1028
Mrpl30 854 808 999 1034 737 1111
Lyg2 0 0 0 0 0 0
Lyg1 0 0 0 0 0 0
Txndc9 2121 1781 1729 1524 1940 1938
Eif5b 5347 4415 4183 4283 5366 5134
Rev1 470 415 299 355 577 537
Aff3 2475 2249 684 761 2311 788
Lonrf2 0 0 0 0 0 0
Chst10 1325 1212 1021 1138 1211 1269
Nms 0 0 0 0 0 0
Pdcl3 1153 1061 1112 1036 1162 1242
Npas2 25 32 4 2 31 7
Rpl31 3642 2618 2694 2312 3705 3113
Tbc1d8 104 94 541 536 78 669
Cnot11 1657 1539 1411 1650 1560 1892
Snord89 9 17 4 3 9 11
Rnf149 1159 944 673 625 1025 818
Creg2 0 0 1 0 0 1
Rfx8 0 1 0 0 0 1
Gm3646 0 0 0 0 0 0
1700066B17Rik 1 1 0 1 1 0
Map4k4 9622 8723 5811 6279 9229 6883
Gm16894 18 17 8 4 13 0
Il1r2 606 592 401 473 601 497
Il1r1 116 127 7 11 112 8
Il1rl2 234 167 79 83 191 93
Il1rl1 407 339 26 27 322 36
Il18r1 11949 10001 8335 8402 10943 9734
Il18rap 4778 4250 5670 5884 4387 6617
Slc9a4 0 0 0 2 0 1
Slc9a2 1 1 3 9 0 2
Mfsd9 28 30 19 26 26 31
Tmem182 0 0 0 0 0 1
4930448I06Rik 0 0 0 0 0 0
2610017I09Rik 0 0 0 0 0 0
Pou3f3 0 0 0 0 0 0
2900092D14Rik 0 0 0 0 0 0
Mrps9 1213 981 950 1022 1100 1132
Gpr45 9 14 0 2 8 0
Tgfbrap1 1734 1629 1335 1438 1651 1641
AI597479 642 564 475 482 613 514
Fhl2 283 275 895 925 265 896
Nck2 1114 1138 944 984 1115 1154
1500015O10Rik 0 3 0 0 2 0
Uxs1 273 230 218 223 284 246
Tpp2 5648 4933 5874 5739 5437 6739
Mettl21c 3 2 7 5 3 0
Tex30 550 475 657 757 614 850
Kdelc1 319 322 167 219 310 222
Bivm 378 342 210 215 359 284
Ercc5 1348 1180 925 963 1205 1092
Mettl21e 0 0 0 0 0 0
Gulp1 0 0 0 0 0 0
4930521E06Rik 0 0 0 0 0 0
Col3a1 0 0 1 0 0 0
Col5a2 12 12 1 1 7 0
Wdr75 1315 1211 874 935 1179 1069
Slc40a1 79 39 32 43 55 50
Gm4776 0 0 0 0 0 0
Dnahc7b 0 0 0 0 1 0
Slc39a10 898 761 617 621 853 681
Tmeff2 0 0 0 0 2 0
9330175M20Rik 0 0 0 0 0 0
Sdpr 0 1 0 0 0 0
Nabp1 4447 3599 3196 3077 4360 3871
Myo1b 14 21 15 9 27 15
Stat4 7733 6555 5043 5161 7085 5554
Stat1 19905 17526 11077 11374 18664 12872
Gls 7103 5636 4927 4586 6256 5824
Nab1 4537 3770 3603 3546 4158 4266
Tmem194b 1717 1554 1441 1433 1723 1604
Mfsd6 2394 1889 1294 1450 2122 1590
Inpp1 2394 2018 1979 2078 2223 2405
Hibch 617 491 425 422 592 504
1700019D03Rik 120 146 9 10 150 3
Mstn 13 3 0 0 4 0
1700019A02Rik 0 3 0 0 4 5
Pms1 705 612 500 513 658 612
Ormdl1 1205 1070 960 1005 1192 1251
Osgepl1 244 217 191 205 250 206
Asnsd1 2194 1850 1642 1737 1973 1994
Dnahc7a 19 31 4 0 34 3
Stk17b 28934 23173 22661 22373 25983 26965
Hecw2 5 13 7 19 8 4
Ccdc150 8 7 3 1 5 2
Gtf3c3 627 505 451 484 579 457
Pgap1 1319 1080 487 500 1261 591
Ankrd44 13192 11061 12877 13121 12357 15249
Sf3b1 30677 26349 23560 24163 28900 27863
Coq10b 2522 2203 1364 1458 2412 1705
Hspd1 5402 3939 3707 3865 4531 4704
Hspe1 1940 1718 1537 1470 1912 1674
Mob4 1268 1042 1194 1186 1078 1408
Rftn2 77 69 90 112 87 102
Mars2 325 291 378 369 281 402
Boll 28 35 7 13 26 24
Plcl1 285 257 50 54 304 47
9130227L01Rik 0 0 0 0 0 0
Hsfy2 0 0 0 0 0 0
Satb2 0 1 2 2 0 5
9130024F11Rik 0 0 1 0 0 0
BC055402 0 0 0 0 0 0
4930558J18Rik 11 16 13 12 16 27
1700066M21Rik 333 264 263 237 288 269
Tyw5 322 240 344 334 340 374
9430016H08Rik 375 348 332 299 395 359
Spats2l 21 24 19 22 18 13
Kctd18 1159 969 890 858 993 1000
Sgol2 823 667 903 853 741 1052
Aox1 1 0 0 0 0 0
Aox3 0 0 1 0 1 2
Aox4 0 0 1 3 0 0
Aox3l1 2 5 0 2 3 5
Bzw1 9160 7866 7608 7847 8501 9074
Clk1 18229 15269 10448 10190 17317 12442
Ppil3 677 621 625 643 580 597
Nif3l1 705 673 632 713 669 660
Orc2 1201 921 948 975 1064 1135
Fam126b 693 531 340 345 566 480
Ndufb3 947 740 781 822 829 988
Gm20257 119 72 74 91 124 85
Als2cr12 1 1 2 1 1 0
Cflar 5470 4504 3253 3533 5008 4172
Casp8 4157 3793 3100 3403 4044 3880
Trak2 3049 2613 3175 3410 2714 3564
Stradb 331 312 304 315 284 317
Als2cr11 0 0 1 0 1 0
Tmem237 240 184 140 164 248 187
Mpp4 10 5 1 7 6 6
Als2 980 895 865 934 834 1064
Cdk15 0 1 0 0 0 0
Fzd7 13 4 15 17 5 26
Gm973 0 1 0 0 1 1
Sumo1 2381 1855 1846 1615 2200 2269
Nop58 4164 3074 2364 2291 3617 3011
Snord70 9 3 4 1 5 6
Snord11 0 3 0 2 3 1
Bmpr2 181 144 33 35 150 48
Fam117b 2826 2530 2320 2537 2616 2770
Ica1l 272 256 58 49 212 5
Wdr12 723 700 360 374 703 463
Carf 221 172 77 74 189 110
Nbeal1 766 615 398 398 712 532
Cyp20a1 277 218 271 310 245 343
Abi2 920 790 599 579 836 625
Raph1 1270 1309 1096 1191 1447 1253
Cd28 33501 28010 22781 22722 31197 26691
Ctla4 25448 20097 8931 9069 21878 10681
Icos 21956 19016 8919 9356 20771 10489
9530026F06Rik 0 0 0 0 0 0
Pard3b 13 15 3 5 12 10
Nrp2 239 192 471 530 235 540
4930487H11Rik 0 0 0 0 1 0
Ino80d 6479 5719 4691 4823 6150 5469
Gm11602 103 91 94 85 36 51
Ndufs1 2001 1803 1780 1939 2069 2348
Eef1b2 14105 12266 9322 9305 13450 10981
Snora41 41 25 29 19 43 38
Gpr1 0 0 0 1 0 0
Zdbf2 37 35 10 7 32 19
Adam23 87 68 279 287 89 320
Dytn 0 0 0 0 0 0
Mdh1b 0 0 0 0 0 0
Fastkd2 493 412 338 282 443 361
4933402D24Rik 2 1 0 0 0 0
Gm13749 0 0 0 0 0 0
Mir1958 0 0 0 0 0 0
Klf7 240 224 187 233 203 265
Creb1 5867 4873 4351 4299 5672 5267
Mettl21a 398 351 226 226 360 285
2810408I11Rik 56 54 54 57 48 76
Ccnyl1 237 218 133 140 222 168
Fzd5 558 534 661 755 535 738
Plekhm3 644 595 615 630 594 782
Akr1cl 0 0 0 0 0 0
Cryge 0 0 0 0 0 0
Crygd 0 0 0 0 0 0
Crygc 0 0 0 0 0 0
Crygb 0 0 0 0 0 0
Cryga 0 0 0 0 0 0
D630023F18Rik 0 0 0 0 0 0
Idh1 352 328 325 322 296 359
Pikfyve 1878 1598 983 997 1703 1186
Pth2r 1 0 0 0 0 0
Crygf 0 0 0 0 0 0
Map2 106 74 19 19 119 19
Unc80 2 1 0 0 1 0
Rpe 1401 1059 1223 1143 1364 1518
Kansl1l 658 540 260 266 653 307
Acadl 2515 2093 2257 2344 2396 2734
Myl1 0 0 0 1 0 1
Lancl1 553 583 387 393 601 466
Cps1 0 0 0 0 0 0
Erbb4 0 0 0 0 0 0
Ikzf2 9959 7946 640 614 8864 744
Spag16 1 1 2 0 0 0
Vwc2l 0 0 0 0 0 0
Bard1 821 716 982 959 741 1096
Abca12 0 0 0 0 0 0
Atic 3188 2942 1984 2200 3255 2465
Fn1 6 2 30 32 3 32
Apol7d 0 0 0 0 0 0
Gm8883 0 0 0 0 0 0
4933417E11Rik 0 0 0 0 0 0
Mreg 53 50 115 86 63 99
Pecr 35 47 22 32 34 24
Tmem169 1 1 0 1 0 0
Xrcc5 1077 855 715 716 983 824
March4 0 1 2 0 0 0
Smarcal1 986 960 754 781 932 839
Ankar 1 1 0 0 1 0
Rpl37a 5282 6694 5457 5896 7285 6567
Igfbp2 0 0 0 0 0 0
Igfbp5 0 0 0 1 0 0
Tnp1 0 0 0 0 0 0
1700027A15Rik 0 0 0 0 0 0
Pinc 0 0 0 0 0 0
D530049I02Rik 0 0 0 0 0 0
6030407O03Rik 0 0 0 0 0 0
Tns1 182 185 124 128 191 126
Rufy4 0 2 4 0 2 3
Cxcr2 1 1 11 11 0 11
Cxcr1 1 0 0 0 0 0
Arpc2 19391 18162 18708 19784 19694 22560
Gpbar1 1 1 0 0 0 3
Aamp 3176 3131 2812 3041 3120 3319
Pnkd 387 424 214 250 415 219
Tmbim1 374 343 165 221 390 212
Gm216 0 2 0 3 0 2
Slc11a1 13 16 61 66 20 89
Ctdsp1 2760 3081 2893 3283 2869 3451
Mir26b 0 1 2 3 1 0
Vil1 3 4 0 4 2 1
Usp37 1928 1556 1321 1375 1721 1499
Rqcd1 1783 1653 1661 1951 1694 2076
Plcd4 18 18 12 12 2 2
Zfp142 1955 1936 1780 2043 2011 2111
Bcs1l 249 252 243 250 250 231
Rnf25 789 728 538 635 711 655
Stk36 0 7 0 2 1 3
Ttll4 1354 1304 859 885 1361 1032
Cyp27a1 30 39 219 219 37 247
Prkag3 0 0 0 0 0 0
Wnt6 2 0 4 0 0 2
Wnt10a 11 5 2 1 11 1
Cdk5r2 0 0 0 1 0 1
Fev 0 0 0 0 0 0
Cryba2 0 0 0 0 0 0
Mir375 0 0 0 0 0 0
Ccdc108 0 1 0 0 0 0
Ihh 2 4 2 1 6 6
Nhej1 83 88 128 115 90 140
Slc23a3 17 17 21 29 15 22
Cnppd1 3241 3081 3377 3695 3160 3691
Fam134a 2191 2127 1686 1978 2178 2039
Zfand2b 720 755 688 731 653 728
Abcb6 112 83 92 80 91 96
Atg9a 936 1077 736 846 938 830
Ankzf1 807 846 557 613 952 765
Glb1l 198 201 155 162 201 180
Stk16 1167 1177 1039 1149 1143 1210
Tuba4a 3540 3780 3168 3443 3760 3613
A630095N17Rik 0 1 0 2 4 0
Dnajb2 1007 1018 254 256 981 258
Ptprn 11 10 6 2 4 2
Resp18 0 0 0 0 0 0
Dnpep 768 776 716 791 868 790
Des 0 1 0 0 0 0
Gm15179 0 0 0 0 0 0
Speg 20 34 4 3 35 2
Gmppa 1319 1262 1109 1183 1315 1306
Asic4 5 0 0 1 0 0
Chpf 939 1047 740 913 893 864
Tmem198 122 145 133 165 158 175
Obsl1 9 8 8 6 3 4
Inha 7 6 4 0 4 4
Stk11ip 1641 1635 1487 1591 1668 1675
Slc4a3 2 3 0 0 0 0
Gm17751 0 0 0 0 0 0
Epha4 0 0 1 0 0 0
Pax3 0 0 1 2 0 0
Sgpp2 141 86 11 15 0 0
Farsb 1392 1324 973 1052 1403 1255
Mogat1 13 2 2 0 5 0
Acsl3 234 192 21 26 208 31
Utp14b 155 156 12 16 162 21
Kcne4 0 0 0 0 0 0
Scg2 33 22 0 0 30 1
Ap1s3 836 661 612 635 808 720
Wdfy1 1185 948 932 1031 1085 1138
Mrpl44 513 478 509 535 495 602
Serpine2 46 45 43 46 42 57
Fam124b 214 173 14 8 176 10
Cul3 7049 5789 5045 5001 6651 6114
1700016L21Rik 0 0 0 0 0 0
Dock10 14810 12589 14726 14885 13639 17041
Nyap2 0 0 0 0 0 0
Irs1 1 1 0 0 3 0
Rhbdd1 660 590 429 480 587 562
Col4a4 3 2 0 1 0 0
Col4a3 6 3 4 9 0 1
Mff 1589 1382 1362 1438 1532 1634
Tm4sf20 2 0 1 3 0 0
Agfg1 5922 5457 4047 4158 5957 4698
Slc19a3 0 0 0 0 0 0
Ccl20 1 1 0 0 0 0
Wdr69 0 1 0 0 1 0
Sphkap 5 0 0 0 4 0
Pid1 15 9 84 75 7 78
Dner 0 0 0 0 0 0
Mir5126 0 0 0 0 0 0
Trip12 15015 12742 12517 12696 13590 14580
Fbxo36 11 10 8 11 6 5
Slc16a14 0 0 1 3 0 4
A530032D15Rik 39 46 83 68 27 80
Gm7609 7 14 3 8 12 3
C130026I21Rik 17 20 29 35 10 27
Sp110 5410 4768 5164 5668 4978 6474
Sp140 1508 1211 1777 1832 1340 2202
Sp100 13031 11624 21490 21996 12602 25905
A630001G21Rik 2194 1902 1943 1979 2021 2325
Cab39 9554 8606 9558 9719 9060 11268
Itm2c 3932 4050 2005 2332 3849 2356
4933407L21Rik 5 13 6 13 1 1
Gpr55 555 487 856 831 503 855
Spata3 0 0 0 0 0 0
2810459M11Rik 13 18 12 6 9 5
Psmd1 2668 2325 2370 2437 2654 2772
Htr2b 13 7 18 10 1 0
Armc9 80 77 65 38 79 48
B3gnt7 5 7 2 3 3 1
Ncl 24512 19747 18608 18972 22214 22860
Snora75 111 121 114 96 141 148
Snord82 2 1 1 2 3 3
C130036L24Rik 43 29 36 32 25 37
Nmur1 2 1 0 0 11 0
1700019O17Rik 0 0 0 0 0 0
Ptma 10253 8962 7808 8008 8969 9835
Pde6d 561 476 306 329 475 389
Cops7b 370 441 330 409 426 439
Nppc 1 2 0 2 1 1
Dis3l2 904 828 568 636 924 708
Alppl2 0 0 0 0 0 0
Alpi 0 0 0 0 0 0
Akp3 0 1 0 0 0 0
Ecel1 68 53 0 2 55 4
Prss56 0 1 9 1 0 6
Chrnd 0 0 1 0 0 0
Chrng 0 1 0 0 0 0
Eif4e2 3535 3209 3672 3818 3280 4239
Efhd1 1 0 0 0 1 0
Gigyf2 3619 3197 2537 2675 3575 3036
Kcnj13 14 16 12 13 0 0
3110079O15Rik 0 0 0 1 0 0
Ngef 0 0 1 0 0 0
Neu2 0 0 0 0 0 0
Inpp5d 7208 6932 7244 7951 6885 8315
Atg16l1 1757 1718 1565 1618 1763 1860
Scarna6 13 11 11 5 18 10
Sag 56 51 32 36 78 29
Dgkd 6902 6333 5632 5783 6560 6322
Usp40 510 398 244 275 390 273
Ugt1a10 0 0 0 0 2 0
Ugt1a9 0 0 0 0 0 0
Ugt1a7c 3 0 13 19 7 28
Ugt1a6b 0 0 0 0 0 0
Ugt1a6a 1 0 0 0 3 1
Ugt1a5 0 0 0 0 2 1
Ugt1a2 0 0 0 0 0 0
Dnajb3 2 5 0 1 5 6
Ugt1a1 0 0 0 0 0 0
Mroh2a 4 10 9 11 4 8
Hjurp 316 335 351 359 615 659
6430706D22Rik 0 0 0 0 0 0
A730008H23Rik 0 0 0 0 0 0
Trpm8 0 0 0 0 0 0
Spp2 0 0 0 0 0 0
Glrp1 5 3 0 0 2 4
Gm19589 9 14 2 10 0 0
Arl4c 9683 8870 10452 11117 9247 12161
2410088K16Rik 0 0 0 0 0 0
1700067G17Rik 0 0 0 0 0 0
Sh3bp4 64 64 84 77 49 70
C030007H22Rik 0 0 0 0 0 0
Agap1 9 11 10 14 5 9
4933400F21Rik 0 0 0 1 0 0
Gbx2 0 0 0 0 0 0
Asb18 0 0 0 0 0 0
Iqca 0 0 0 0 0 0
Cxcr7 0 0 5 7 2 4
Cops8 1510 1360 1525 1528 1581 1664
Col6a3 4 0 0 2 2 1
Mlph 0 0 0 0 0 0
Prlh 0 0 0 0 0 0
Rab17 0 0 0 0 0 0
Lrrfip1 13511 11423 9169 9339 12562 11174
Rbm44 71 61 67 88 75 82
Ramp1 181 210 43 56 186 57
Ube2f 1269 1083 1037 1149 1307 1205
Scly 1270 1286 1038 1112 1234 1188
Espnl 5 2 1 2 1 3
Klhl30 0 4 2 0 1 1
Fam132b 27 19 24 38 3 13
Ilkap 2050 1861 1702 1767 1812 1991
1700020N18Rik 4 2 1 3 4 0
Hes6 560 694 802 888 584 953
Per2 326 311 74 77 332 77
Traf3ip1 424 308 484 429 323 528
Asb1 723 677 752 771 620 818
Twist2 5 13 0 0 11 1
Hdac4 1169 1160 711 762 1188 813
Ndufa10 1941 2006 2215 2459 1984 2746
Olfr1416 0 0 0 0 0 0
Olfr1415 0 0 0 0 0 0
Olfr1414 0 0 0 0 0 0
Olfr1413 0 0 0 0 0 0
Olfr1412 0 0 0 0 0 0
Olfr1411 0 0 0 0 0 0
Olfr1410 0 0 0 0 0 0
Olfr12 0 0 0 0 0 0
Myeov2 686 624 693 712 674 886
Otos 6 6 6 10 4 12
Gpc1 702 697 492 516 614 574
Mir149 0 1 0 0 0 0
Ankmy1 11 7 9 10 6 12
Dusp28 110 108 114 97 80 96
Rnpepl1 2877 3339 1995 2164 3085 2196
9430060I03Rik 4 0 3 1 2 1
Capn10 257 278 198 244 243 268
Gpr35 277 264 119 133 276 140
Aqp12 1 0 0 0 0 0
Kif1a 1 3 6 4 0 7
Agxt 0 0 0 0 0 0
2310007B03Rik 0 0 0 0 0 0
Sned1 2 3 10 6 0 9
Mterfd2 261 234 253 275 241 266
Pask 265 239 283 363 226 402
Ppp1r7 1128 1049 937 965 1095 1139
Ano7 6 3 2 0 7 1
Hdlbp 6328 5678 5397 5977 6197 6502
Sept2 3757 2973 3233 3091 3314 3746
Farp2 39 50 26 23 54 31
Stk25 2889 2597 1819 1848 2574 2049
Bok 0 1 1 0 3 0
Thap4 522 484 475 445 451 530
Atg4b 1232 1246 1131 1190 1161 1311
Dtymk 803 811 739 762 761 792
Ing5 1394 1304 1008 974 1306 1130
D2hgdh 652 648 546 506 654 633
Gal3st2 2 0 0 0 0 0
Gm9994 0 0 0 0 0 0
Gm6086 2 1 2 1 2 0
Neu4 7 3 1 1 0 0
Pdcd1 5927 5550 1571 1713 5526 1736
4930440C22Rik 0 0 0 0 0 0
Fam174a 360 332 197 196 332 241
St8sia4 3831 3035 2724 2673 3379 3350
4930598F16Rik 1 2 0 0 1 0
1700063A18Rik 0 0 0 0 0 0
4930533P14Rik 0 0 0 0 0 0
Slco4c1 2 1 1 2 0 1
Slco6b1 0 0 0 0 0 0
Slco6c1 0 0 0 0 0 0
D1Ertd622e 948 827 1279 1337 913 1567
Ppip5k2 2991 2367 1689 1583 2712 1904
Gin1 525 435 400 364 484 469
Pam 74 62 53 47 75 49
B230216N24Rik 12 5 3 2 7 10
1810006J02Rik 43 38 43 26 38 43
Slco6d1 0 0 0 0 0 0
Cntnap5b 0 0 0 0 0 0
Gm20268 0 0 0 0 0 0
Cdh20 1 1 0 1 0 0
Rnf152 8 14 10 9 14 12
Pign 1188 1020 682 714 1103 840
2310035C23Rik 2087 1926 1472 1563 1996 1794
Tnfrsf11a 7 9 28 19 11 13
Zcchc2 3420 3260 2657 2737 3324 3092
Gm20753 1 2 0 2 1 1
Phlpp1 871 898 389 393 836 461
Bcl2 5875 5072 1420 1417 5588 1597
Kdsr 744 677 547 540 734 644
Vps4b 3504 2850 2739 2748 3176 3237
Serpinb5 0 2 0 0 2 0
Serpinb12 0 0 0 0 0 0
Serpinb13 0 0 0 0 0 0
Serpinb3a 0 0 0 0 0 0
Serpinb3d 0 0 0 0 0 0
Serpinb3b 0 0 0 0 0 0
Serpinb3c 0 0 0 0 0 0
Serpinb11 0 0 0 0 0 0
Serpinb7 0 0 0 2 0 0
Serpinb2 0 0 3 1 0 1
Serpinb10 0 0 1 2 0 4
Serpinb8 0 1 10 13 0 13
Cdh7 0 0 0 0 0 0
Cdh19 0 0 0 0 0 0
Dsel 452 344 90 89 431 103
Cntnap5a 0 0 0 0 0 0
Tsn 2521 2242 2269 2116 2342 2451
Mki67ip 1308 1135 1192 1189 1224 1337
Clasp1 2158 1971 1676 1766 2149 2048
2900060B14Rik 13 25 12 10 25 2
Tfcp2l1 7 2 3 0 3 1
Gli2 0 0 0 0 0 0
Inhbb 0 0 0 0 0 0
Ralb 293 289 158 137 287 170
Tmem185b 658 672 496 498 594 591
Epb4.1l5 43 36 11 5 31 19
Ptpn4 1778 1387 2532 2572 1552 3038
Tmem177 149 150 126 143 126 131
Gm101 0 0 0 0 0 0
Sctr 2 1 1 1 0 0
Tmem37 92 101 136 184 102 149
Dbi 1494 1356 1516 1590 1392 1811
3110009E18Rik 83 86 67 87 70 71
Steap3 8 9 32 46 5 60
C1ql2 0 0 0 0 0 0
Marco 23 12 12 5 14 5
En1 0 0 0 0 0 0
B230209K01Rik 0 0 0 0 0 0
Insig2 481 417 304 279 396 344
Ccdc93 1800 1509 1417 1394 1573 1707
Htr5b 0 0 0 0 0 0
Ddx18 967 1090 826 931 1044 973
Dpp10 0 0 0 0 2 1
Actr3 20092 18505 21363 21550 20127 25500
Slc35f5 24 23 17 14 26 18
Gpr39 0 0 0 0 0 0
Lypd1 1 1 0 0 12 3
Nckap5 10 8 0 0 2 1
Mgat5 476 521 290 323 472 325
Tmem163 289 248 623 672 282 800
Acmsd 2 2 1 1 0 1
2900009J06Rik 0 2 2 0 1 1
Ccnt2 3277 2857 2440 2466 3046 2862
Map3k19 45 40 12 19 35 16
Rab3gap1 2593 2205 1601 1696 2382 1970
Zranb3 275 246 272 250 287 332
R3hdm1 3190 3153 2505 2700 3522 3000
Mir128-1 0 0 0 0 0 0
Ubxn4 5250 4582 3681 3847 4916 4449
Lct 10 10 10 13 6 10
Mcm6 7091 6469 7270 7568 6350 8486
Dars 2868 2555 1924 1968 2699 2188
